ls

ls
<CR>
         TIME          Size       File name 
----A 2021/10/23 14:31      6288  1023
----A 2021/10/23 11:38    128000  10231123
----A 2021/10/23 11:55    128000  10231140
----A 2021/10/23 12:14    128000  10231157
----A 2021/10/23 12:31    128000  10231214
----A 2021/10/23 12:46    128000  10231231
----A 2021/10/23 13:03    128000  10231248
----A 2021/10/23 13:22    128000  10231305
----A 2021/10/23 13:39    128000  10231322
----A 2021/10/23 13:54    128000  10231339
----A 2021/10/23 14:11    128000  10231356
----A 2021/10/23 14:30    128000  10231413
----A 2021/10/23 14:30      2560  10231430
----A 2021/10/24 14:32      7472  1024
----A 2021/10/24 10:54    128000  10241037
----A 2021/10/24 11:11    128000  10241054
----A 2021/10/24 11:26    128000  10241111
----A 2021/10/24 11:43    128000  10241128
----A 2021/10/24 12:02    128000  10241145
----A 2021/10/24 12:19    128000  10241202
----A 2021/10/24 12:35    128000  10241219
----A 2021/10/24 12:51    128000  10241236
----A 2021/10/24 13:11    128000  10241253
----A 2021/10/24 13:27    128000  10241310
----A 2021/10/24 13:43    128000  10241327
----A 2021/10/24 13:59    128000  10241344
----A 2021/10/24 14:19    128000  10241401
----A 2021/10/24 14:19      2560  10241418
----A 2021/10/25 14:55      8432  1025
----A 2021/10/25 10:27    128000  10251011
----A 2021/10/25 10:43    128000  10251028
----A 2021/10/25 11:03    128000  10251045
----A 2021/10/25 11:19    128000  10251102
----A 2021/10/25 11:35    128000  10251119
----A 2021/10/25 11:51    128000  10251136
----A 2021/10/25 12:11    128000  10251153
----A 2021/10/25 12:27    128000  10251210
----A 2021/10/25 12:43    128000  10251227
----A 2021/10/25 12:59    128000  10251244
----A 2021/10/25 13:19    119040  10251301
----A 2021/10/25 14:07    128000  10251349
----A 2021/10/25 14:23    128000  10251406
----A 2021/10/25 14:39    128000  10251423
----A 2021/10/25 14:43      2560  10251440
----A 2021/10/26 14:43      8960  1026
----A 2021/10/26 09:55    128000  10260939
----A 2021/10/26 10:11    128000  10260956
----A 2021/10/26 10:29    128000  10261013
----A 2021/10/26 10:45    128000  10261030
----A 2021/10/26 11:03    128000  10261047
----A 2021/10/26 11:19    128000  10261104
----A 2021/10/26 11:37    128000  10261121
----A 2021/10/26 11:53    128000  10261138
----A 2021/10/26 12:11    128000  10261155
----A 2021/10/26 12:27    128000  10261212
----A 2021/10/26 12:45    128000  10261229
----A 2021/10/26 13:01    128000  10261246
----A 2021/10/26 13:19    128000  10261303
----A 2021/10/26 13:35    128000  10261320
----A 2021/10/26 13:53    128000  10261337
----A 2021/10/26 14:09    128000  10261354
----A 2021/10/26 14:27    128000  10261411
----A 2021/10/26 14:43    128000  10261428
----A 2021/10/26 14:45      2560  10261445
----A 2021/10/27 14:59      9648  1027
----A 2021/10/27 09:44    128000  10270929
----A 2021/10/27 10:01    128000  10270946
----A 2021/10/27 10:18    128000  10271003
----A 2021/10/27 10:35    128000  10271020
----A 2021/10/27 10:52    128000  10271037
----A 2021/10/27 11:09    128000  10271054
----A 2021/10/27 11:27    128000  10271111
----A 2021/10/27 11:43    128000  10271128
----A 2021/10/27 12:01    128000  10271145
----A 2021/10/27 12:17    128000  10271202
----A 2021/10/27 12:35    128000  10271219
----A 2021/10/27 12:51    128000  10271236
----A 2021/10/27 13:09    128000  10271253
----A 2021/10/27 13:25    128000  10271310
----A 2021/10/27 13:43    128000  10271327
----A 2021/10/27 13:59    128000  10271344
----A 2021/10/27 14:17    128000  10271401
----A 2021/10/27 14:33    128000  10271418
----A 2021/10/27 14:51    128000  10271435
----A 2021/10/27 14:53      2560  10271452

  85 File(s),   9644640 bytes total
   0 Dir(s),     990816K bytes free

/> 
read 1027

read 1027
<CR>Time:2021/10/27 14:53:2021/10/27 14:53
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 12 43 13 9847 
9 12 58 12 15042 
9 13 13 13 16613 
9 13 28 12 16975 
9 13 43 13 17157 
9 13 58 12 17036 
9 14 13 13 17036 
9 14 28 12 17036 
9 14 43 13 17036 
9 14 58 12 17036 
9 15 13 13 17036 
9 15 28 12 17036 
9 15 43 13 17036 
9 15 58 12 17036 
9 16 13 13 17036 
9 16 28 12 17036 
9 16 43 13 17036 
9 16 58 12 17036 
9 17 13 13 17036 
9 17 28 12 17036 
9 17 43 13 17036 
9 17 58 12 17036 
9 18 13 13 17036 
9 18 28 12 17036 
9 18 43 13 17036 
9 18 58 12 17036 
9 19 13 13 17036 
9 19 28 12 17036 
9 19 43 13 16975 
9 19 58 12 17036 
9 20 13 13 16975 
9 20 28 12 17036 
9 20 43 13 17036 
9 20 58 12 17036 
9 21 13 13 16975 
9 21 28 12 16975 
9 21 43 13 16975 
9 21 58 12 17036 
9 22 13 13 17036 
9 22 28 12 16975 
9 22 43 13 16975 
9 22 58 12 16975 
9 23 13 13 16975 
9 23 28 12 16975 
9 23 43 13 16975 
9 23 58 12 16975 
9 24 13 13 16975 
9 24 28 12 16975 
9 24 43 13 16975 
9 24 58 12 16975 
9 25 13 13 16975 
9 25 28 12 16975 
9 25 43 13 16975 
9 25 58 12 16975 
9 26 13 13 16975 
9 26 28 12 16975 
9 26 43 13 16975 
9 26 58 12 16975 
9 27 13 13 16975 
9 29 43 13 16975 
9 29 58 12 16975 
9 30 13 13 16975 
9 30 28 12 16975 
9 30 43 13 16975 
9 30 58 12 16975 
9 31 13 13 16975 
9 31 28 12 16975 
9 31 43 13 16975 
9 31 58 12 16975 
9 32 13 13 16975 
9 32 28 12 16975 
9 32 43 13 16975 
9 32 58 12 16975 
9 33 13 13 16975 
9 33 28 12 16975 
9 33 43 13 16975 
9 33 58 12 16975 
9 34 13 13 16975 
9 34 28 12 16975 
9 34 43 13 16975 
9 34 58 12 16975 
9 35 13 13 16975 
9 35 28 12 16975 
9 35 43 13 16975 
9 35 58 12 16975 
9 36 13 13 16975 
9 36 28 12 16975 
9 36 43 13 16975 
9 36 58 12 16975 
9 37 13 13 16975 
9 37 28 12 16975 
9 37 43 13 16975 
9 37 58 12 16975 
9 38 13 13 16975 
9 38 28 12 16975 
9 38 43 13 16975 
9 38 58 12 16975 
9 39 13 13 16975 
9 39 28 12 16975 
9 39 43 13 16975 
9 39 58 12 16975 
9 40 13 13 16975 
9 40 28 12 16975 
9 40 43 13 16975 
9 40 58 12 16975 
9 41 13 13 16975 
9 41 28 12 16975 
9 41 43 13 16975 
